seq_name	taxonomy
4752_Q_run525_CCS_trimmed_deduplicated_s704.ctg000709l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s726.ctg000731l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s748.ctg000753l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s1130.ctg001135l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s1222.ctg001227l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s1291.ctg001296l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s1861.ctg001867l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s1873.ctg001879l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s2309.ctg002315l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s2409.ctg002415l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s2662.ctg002668l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s2727.ctg002733l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s3048.ctg003054l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s3254.ctg003260l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s3780.ctg003786l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s3973.ctg003979l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s4101.ctg004107l||full	Caudoviricetes
4752_Q_run525_CCS_trimmed_deduplicated_s4171.ctg004177l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s217.ctg000250l||full_1	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s2386.ctg002530l||full_1	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s2741.ctg002896l||full_1	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s2134.ctg002267l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s23.ctg000028l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s127.ctg000147l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s274.ctg000312l||full	Megaviricetes
5068_A_run562_hifi_trimmed_deduplicated_s322.ctg000363l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s407.ctg000455l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s474.ctg000526l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s586.ctg000643l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s627.ctg000687l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s709.ctg000770l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s730.ctg000792l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s821.ctg000886l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s850.ctg000915l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1022.ctg001094c||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1244.ctg001330l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1269.ctg001356l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1376.ctg001469l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1414.ctg001512l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1420.ctg001519c||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1423.ctg001522l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1433.ctg001532c||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1446.ctg001547l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1495.ctg001602l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1498.ctg001605l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1501.ctg001609l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1559.ctg001673l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1623.ctg001740l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1715.ctg001835c||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1716.ctg001836l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1740.ctg001861l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1866.ctg001995l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1888.ctg002017l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1895.ctg002024c||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s1996.ctg002126c||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s2109.ctg002242l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s2115.ctg002248l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s2116.ctg002249l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s2141.ctg002274l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s2260.ctg002400l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s2597.ctg002746l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s2644.ctg002795l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s2742.ctg002897l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s3014.ctg003181l||full	Caudoviricetes
5068_A_run562_hifi_trimmed_deduplicated_s3080.ctg003251l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s290.ctg000294l||full_1	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s734.ctg000740l||full_1	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s1035.ctg001046l||full_1	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s2914.ctg002956l||full_1	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s3625.ctg003678l||full_1	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s384.ctg000389c||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s464.ctg000469l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s642.ctg000647c||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s665.ctg000671l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s681.ctg000687l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s753.ctg000760l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s765.ctg000772l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s798.ctg000805l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s860.ctg000869c||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s1116.ctg001130l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s1390.ctg001409l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s1457.ctg001477l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s1531.ctg001553l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s1858.ctg001881l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s1907.ctg001932l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s1942.ctg001970l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s1969.ctg001998l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s2042.ctg002072l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s2079.ctg002109l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s2110.ctg002140c||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s2111.ctg002141l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s2388.ctg002420l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s2593.ctg002627l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s3038.ctg003084l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s3129.ctg003175c||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s3154.ctg003200l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s3237.ctg003284c||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s3274.ctg003323l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s3352.ctg003402l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s3371.ctg003421l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s3512.ctg003564l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s3553.ctg003605l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s3864.ctg003921l||full	Caudoviricetes
5068_B_run562_hifi_trimmed_deduplicated_s3898.ctg003956l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s347.ctg000349l||full_1	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s40.ctg000041l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s74.ctg000075l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s128.ctg000129l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s153.ctg000154l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s178.ctg000179l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s182.ctg000183l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s252.ctg000253l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s392.ctg000394c||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s416.ctg000418l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s439.ctg000441l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s491.ctg000493l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s527.ctg000529l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s610.ctg000612l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s620.ctg000622l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s737.ctg000739l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s759.ctg000761l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s782.ctg000784l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s798.ctg000800l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s842.ctg000844l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1075.ctg001077l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1118.ctg001120l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1149.ctg001151l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1166.ctg001168l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1167.ctg001169l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1170.ctg001172l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1260.ctg001262l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1370.ctg001372l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1477.ctg001479l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1603.ctg001605l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1720.ctg001722l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1778.ctg001780l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1871.ctg001873l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s1880.ctg001882l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2055.ctg002057l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2092.ctg002094l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2229.ctg002232l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2283.ctg002287l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2299.ctg002303l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2497.ctg002502l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2542.ctg002547l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2561.ctg002566l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2565.ctg002570l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2684.ctg002689l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2752.ctg002757l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2772.ctg002777l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2788.ctg002793l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2811.ctg002816l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s2936.ctg002942l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3005.ctg003011l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3006.ctg003012l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3009.ctg003015l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3015.ctg003021l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3167.ctg003173l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3262.ctg003268l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3391.ctg003397l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3399.ctg003405l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3404.ctg003410l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3442.ctg003448l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3472.ctg003478l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3631.ctg003637l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3642.ctg003648l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3650.ctg003656c||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3654.ctg003660l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3782.ctg003788l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3805.ctg003811l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3826.ctg003832c||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3838.ctg003844l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s3956.ctg003962l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s4063.ctg004069l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s4104.ctg004110l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s4236.ctg004242l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s4321.ctg004327c||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s4322.ctg004328l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s4400.ctg004406l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s4549.ctg004556l||full	Caudoviricetes
5068_C_run562_hifi_trimmed_deduplicated_s4585.ctg004592l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1859.ctg001863l||full_1	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s4188.ctg004193l||full_1	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s12.ctg000013l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s31.ctg000032l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s58.ctg000059l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s106.ctg000107l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s136.ctg000137l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s187.ctg000188l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s248.ctg000249l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s290.ctg000291l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s506.ctg000507l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s566.ctg000567l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s639.ctg000641l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s695.ctg000697l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s772.ctg000774l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s811.ctg000813l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s851.ctg000853l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s873.ctg000875l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s962.ctg000964l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s975.ctg000977l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s976.ctg000978l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1173.ctg001176l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1228.ctg001231l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1247.ctg001251l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1256.ctg001260l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1358.ctg001362l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1385.ctg001389l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1423.ctg001427l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1470.ctg001474l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1543.ctg001547c||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1616.ctg001620l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1617.ctg001621l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1620.ctg001624l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1622.ctg001626l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s1853.ctg001857l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2136.ctg002141l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2253.ctg002258l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2279.ctg002284l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2294.ctg002299l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2401.ctg002406l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2454.ctg002459l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2467.ctg002472c||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2472.ctg002477l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2512.ctg002517l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2625.ctg002630l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2777.ctg002782l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2787.ctg002792l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2798.ctg002803l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2802.ctg002807l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2817.ctg002822l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s2861.ctg002866l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3050.ctg003055l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3053.ctg003058l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3078.ctg003083l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3098.ctg003103l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3124.ctg003129l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3201.ctg003206l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3231.ctg003236l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3258.ctg003263l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3321.ctg003326l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3423.ctg003428l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3434.ctg003439l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3443.ctg003448l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3476.ctg003481l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3639.ctg003644l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3704.ctg003709l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3717.ctg003722l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3771.ctg003776l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3802.ctg003807l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3829.ctg003834l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3861.ctg003866l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3864.ctg003869l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3904.ctg003909l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3907.ctg003912l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3918.ctg003923l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3920.ctg003925l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3935.ctg003940l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3972.ctg003977l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3982.ctg003987l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s3999.ctg004004l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s4006.ctg004011l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s4061.ctg004066l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s4129.ctg004134l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s4311.ctg004316l||full	Caudoviricetes
5068_D_run562_hifi_trimmed_deduplicated_s241.ctg000242c||0_partial	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s1143.ctg001183l||full_1	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s2460.ctg002551l||full_1	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s3495.ctg003624l||full_1	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s6481.ctg006760l||full_1	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s676.ctg000696l||0_partial_1	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s5004.ctg005181l||0_partial_1	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s94.ctg000097l||full	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s149.ctg000157l||full	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s487.ctg000501l||full	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s594.ctg000611c||full	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s621.ctg000640l||full	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s645.ctg000664l||full	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s663.ctg000683l||full	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s1113.ctg001151l||full	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s1290.ctg001337l||full	Caudoviricetes
5068_E_run562_hifi_trimmed_deduplicated_s1439.ctg001491l||full	Caudoviricetes
